ind,A632_usa,B73_inra,CO255_inra,FV252_inra,OH43_inra,A654_inra,FV2_inra,C103_inra,EP1_inra,D105_inra,W117_inra,B96,DK63,F492,ND245,VA85
EB.10H.H.00034,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00036,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00037,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00038,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00040,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00041,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00043,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00045,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00046,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00047,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00050,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00051,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00052,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00053,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00054,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00055,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00056,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00058,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00060,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00061,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00062,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00063,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00064,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00067,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00071,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00074,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00075,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00076,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00077,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00078,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
